total_value,neighborhood,area,year,deposit,rent,elavator,parking,warehouse
750000000.0, نیرو هوایی ,150,1390,750000000.0,0.0,1,1,1
100150000.0, شهرک نفت (منطقه ۵) ,65,1395,100000000.0,5000000.0,1,1,1
0.0, ارم ,140,1396,0.0,0.0,1,1,1
0.0, هروی ,125,1395,0.0,0.0,1,1,1
780000000.0, پونک ,140,1399,780000000.0,0.0,1,1,1
100060000.0, آذربایجان ,70,1386,100000000.0,2000000.0,0,0,1
80150000.0, سرو آزاد ,76,1396,80000000.0,5000000.0,1,1,1
2002100000.0, الهیه ,340,1389,2000000000.0,70000000.0,1,1,1
200225000.0, دریاچه شهدای خلیج فارس ,115,1397,200000000.0,7500000.0,1,1,1
1501200000.0, ولنجک ,255,1399,1500000000.0,40000000.0,1,1,1
400225000.0, تهرانپارس شرقی ,130,1399,400000000.0,7500000.0,1,1,1
120045000.0, پیروزی ,65,1388,120000000.0,1500000.0,0,0,1
1000000000.0, فرمانیه ,235,1399,1000000000.0,0.0,1,1,1
400150000.0, پونک ,100,1396,400000000.0,5000000.0,1,1,1
480000000.0, کوی مهران ,85,1392,480000000.0,0.0,1,1,1
235000000.0, پیروزی ,70,1380,235000000.0,0.0,0,0,1
0.0, جردن ,170,1363,0.0,0.0,1,1,1
140096000.0, شهران جنوبی ,83,1380,140000000.0,3200000.0,1,1,1
350300000.0, جنت‌آباد مرکزی ,135,1397,350000000.0,10000000.0,1,1,1
1500000000.0, شهرک غرب ,180,1380,1500000000.0,0.0,0,1,1
380036000.0, تهرانپارس غربی ,100,1392,380000000.0,1200000.0,1,1,1
300900000.0, الهیه ,200,1372,300000000.0,30000000.0,0,1,1
200150000.0, جنت‌آباد مرکزی ,80,1390,200000000.0,5000000.0,1,1,1
700000000.0, چیتگر ,100,1399,700000000.0,0.0,1,1,1
1400000000.0, پاسداران ,150,1390,1400000000.0,0.0,1,1,1
120255000.0, سعادت‌آباد ,95,1388,120000000.0,8500000.0,1,1,1
300180000.0, کوی فردوس ,100,1391,300000000.0,6000000.0,1,1,1
300315000.0, کوهک ,140,1397,300000000.0,10500000.0,1,1,1
900000000.0, پونک ,153,1397,900000000.0,0.0,1,1,1
800600000.0, الهیه ,175,1388,800000000.0,20000000.0,1,1,1
0.0, یوسف‌آباد ,140,1385,0.0,0.0,1,1,1
1001200000.0, فرمانیه ,240,1390,1000000000.0,40000000.0,1,1,1
260075000.0, پونک ,65,1388,260000000.0,2500000.0,1,1,1
800000000.0, یوسف‌آباد ,101,1395,800000000.0,0.0,1,1,1
300270000.0, شهرک راه‌آهن ,127,1396,300000000.0,9000000.0,1,1,1
0.0, میرداماد ,149,1386,0.0,0.0,1,1,1
830000000.0, پونک ,135,1399,830000000.0,0.0,1,1,1
1250000000.0, ولنجک ,130,1388,1250000000.0,0.0,1,1,1
300900000.0, ولنجک ,170,1392,300000000.0,30000000.0,1,1,1
550000000.0, صادقیه ,130,1386,550000000.0,0.0,1,1,1
520810000.0, سعادت‌آباد ,225,1390,520000000.0,27000000.0,1,1,1
420000000.0, جنت‌آباد جنوبی ,83,1390,420000000.0,0.0,1,1,1
1400000000.0, ولنجک ,175,1399,1400000000.0,0.0,1,1,1
1400000000.0, شهرک غرب ,150,1398,1400000000.0,0.0,1,1,1
2200000000.0, پاسداران ,225,1399,2200000000.0,0.0,1,1,1
600060000.0, سهروردی ,101,1380,600000000.0,2000000.0,1,0,1
0.0, سعادت‌آباد ,150,1399,0.0,0.0,1,1,1
950000000.0, قنات‌کوثر ,182,1391,950000000.0,0.0,1,1,1
450000000.0, سپهر ,110,1384,450000000.0,0.0,0,0,1
1550000000.0, فرمانیه ,160,1398,1550000000.0,0.0,1,1,1
650000000.0, میرداماد ,100,1395,650000000.0,0.0,1,1,1
70135000.0, نیرو هوایی ,110,1385,70000000.0,4500000.0,0,0,1
55090000.0, نواب ,65,1384,55000000.0,3000000.0,1,0,1
1002850000.0, اقدسیه ,380,1397,1000000000.0,95000000.0,1,1,1
1001200000.0, فرمانیه ,250,1397,1000000000.0,40000000.0,1,1,1
500600000.0, میرداماد ,240,1385,500000000.0,20000000.0,1,1,1
1100000000.0, دزاشیب ,140,1387,1100000000.0,0.0,1,1,1
130120000.0, پونک ,64,1393,130000000.0,4000000.0,0,1,1
210048000.0, پیروزی ,71,1390,210000000.0,1600000.0,0,1,1
600000000.0, فاطمی ,90,1399,600000000.0,0.0,1,1,1
0.0, پاسداران ,210,1392,0.0,0.0,1,1,1
200150000.0, جنت‌آباد مرکزی ,90,1390,200000000.0,5000000.0,1,1,1
2700000000.0, ولنجک ,210,1396,2700000000.0,0.0,1,1,1
200270000.0, سپهر ,106,1388,200000000.0,9000000.0,1,1,1
2000000000.0, نیلوفر ,190,1399,2000000000.0,0.0,1,1,1
500015000.0, باغ فیض ,95,1399,500000000.0,500000.0,1,1,1
170000000.0, فلاح ,70,1391,170000000.0,0.0,1,1,1
350180000.0, شهرک راه‌آهن ,135,1396,350000000.0,6000000.0,1,1,1
100156000.0, جنت‌آباد جنوبی ,65,1384,100000000.0,5200000.0,0,1,1
150090000.0, سازمان برنامه ,80,1387,150000000.0,3000000.0,1,1,1
100165000.0, شهرک نفت (منطقه ۵) ,62,1396,100000000.0,5500000.0,1,1,1
200120000.0, کوی فردوس ,75,1386,200000000.0,4000000.0,0,1,1
145099000.0, شهران جنوبی ,83,1384,145000000.0,3300000.0,1,1,1
1300900000.0, دروس ,230,1398,1300000000.0,30000000.0,1,1,1
200270000.0, جردن ,120,1388,200000000.0,9000000.0,1,1,1
350225000.0, سهروردی ,110,1399,350000000.0,7500000.0,1,1,1
500450000.0, شهرک غرب ,130,1397,500000000.0,15000000.0,1,1,1
200540000.0, محمودیه ,173,1383,200000000.0,18000000.0,1,1,1
750000000.0, اباذر ,132,1385,750000000.0,0.0,1,1,1
0.0, سهروردی ,75,1390,0.0,0.0,1,1,1
650000000.0, فرمانیه ,65,1396,650000000.0,0.0,1,0,1
280000000.0, کوی فردوس ,68,1385,280000000.0,0.0,0,1,1
200390000.0, قیطریه ,120,1397,200000000.0,13000000.0,1,1,1
1100000000.0, نیاوران ,137,1386,1100000000.0,0.0,1,1,1
500000000.0, ستارخان ,110,1392,500000000.0,0.0,1,1,1
200300000.0, سعادت‌آباد ,95,1391,200000000.0,10000000.0,1,1,1
230000000.0, امیریه ,75,1398,230000000.0,0.0,1,1,1
800000000.0, سیدخندان ,118,1399,800000000.0,0.0,1,1,1
300600000.0, ولنجک ,130,1384,300000000.0,20000000.0,1,1,1
0.0, فرمانیه ,250,1398,0.0,0.0,1,1,1
700000000.0, میرداماد ,120,1390,700000000.0,0.0,1,1,1
1500000000.0, میرداماد ,150,1399,1500000000.0,0.0,1,1,1
300480000.0, هروی ,125,1394,300000000.0,16000000.0,1,1,1
0.0, سعادت‌آباد ,125,1392,0.0,0.0,1,1,1
0.0, لواسان ,260,1399,0.0,0.0,1,1,1
400000000.0, شهرک آزادی ,107,1399,400000000.0,0.0,1,1,1
200054000.0, جنت‌آباد مرکزی ,65,1388,200000000.0,1800000.0,0,1,1
1000450000.0, زعفرانیه ,150,1385,1000000000.0,15000000.0,0,0,1
339600000.0, نیرو هوایی ,70,1399,330000000.0,320000000.0,1,1,1
100135000.0, فاطمی ,80,1384,100000000.0,4500000.0,0,0,1
300360000.0, جردن ,140,1385,300000000.0,12000000.0,1,1,1
500660000.0, زعفرانیه ,200,1388,500000000.0,22000000.0,1,1,1
200240000.0, تهرانپارس غربی ,110,1385,200000000.0,8000000.0,1,1,1
250180000.0, نیاوران ,75,1384,250000000.0,6000000.0,0,1,1
0.0, زعفرانیه ,430,1399,0.0,0.0,1,1,1
900000000.0, قیطریه ,120,1398,900000000.0,0.0,1,1,1
100108000.0, سعادت‌آباد ,55,1380,100000000.0,3600000.0,0,0,1
200375000.0, اختیاریه ,110,1388,200000000.0,12500000.0,1,1,1
100600000.0, الهیه ,140,1389,100000000.0,20000000.0,1,1,1
180072000.0, جنت‌آباد مرکزی ,68,1378,180000000.0,2400000.0,0,1,1
700000000.0, نیاوران ,85,1398,700000000.0,0.0,1,1,1
650000000.0, کوی فردوس ,107,1399,650000000.0,0.0,1,1,1
195000000.0, گرگان ,71,1380,195000000.0,0.0,0,1,1
1000000000.0, دریا ,160,1382,1000000000.0,0.0,1,1,1
200180000.0, سهروردی ,75,1392,200000000.0,6000000.0,1,1,1
400210000.0, شهر زیبا ,120,1399,400000000.0,7000000.0,1,1,1
650000000.0, سوهانک ,155,1381,650000000.0,0.0,1,1,1
0.0, نیاوران ,170,1391,0.0,0.0,1,1,1
1100000000.0, قیطریه ,137,1384,1100000000.0,0.0,1,1,1
2000000000.0, تجریش ,235,1391,2000000000.0,0.0,1,1,1
80180000.0, کوی فردوس ,65,1393,80000000.0,6000000.0,1,1,1
120000000.0, استاد معین ,45,1384,120000000.0,0.0,0,0,1
0.0, شهرک غرب ,120,1395,0.0,0.0,1,1,1
380036000.0, تهرانپارس غربی ,90,1391,380000000.0,1200000.0,1,1,1
300000000.0, قیطریه ,90,1363,300000000.0,0.0,0,0,1
400180000.0, پونک ,140,1379,400000000.0,6000000.0,0,1,1
1700000000.0, دزاشیب ,180,1399,1700000000.0,0.0,1,1,1
0.0, شیوا ,72,1398,0.0,0.0,1,0,1
550000000.0, شهرک راه‌آهن ,93,1390,550000000.0,0.0,0,0,1
1000000000.0, جردن ,140,1396,1000000000.0,0.0,1,1,1
0.0, سعادت‌آباد ,330,1397,0.0,0.0,1,1,1
360018000.0, شهران شمالی ,85,1395,360000000.0,600000.0,1,1,1
50090000.0, شهرک آزادی ,51,1391,50000000.0,3000000.0,0,1,1
280000000.0, تهران‌سر ,80,1387,280000000.0,0.0,1,0,1
590000000.0, مرزداران ,95,1390,590000000.0,0.0,1,1,1
500300000.0, کوی فردوس ,150,1399,500000000.0,10000000.0,1,1,1
0.0, سهروردی ,135,1371,0.0,0.0,0,1,1
80135000.0, باغ فیض ,60,1385,80000000.0,4500000.0,1,1,1
700000000.0, پونک ,130,1390,700000000.0,0.0,1,1,1
150225000.0, پونک ,93,1394,150000000.0,7500000.0,1,1,1
0.0, گیشا (کوی نصر) ,90,1396,0.0,0.0,1,1,1
150240000.0, سهروردی ,110,1390,150000000.0,8000000.0,1,1,1
130120000.0, پونک ,60,1390,130000000.0,4000000.0,0,1,1
0.0, نواب ,52,1395,0.0,0.0,1,0,1
470000000.0, پونک ,120,1387,470000000.0,0.0,1,1,1
300150000.0, نارمک ,100,1397,300000000.0,5000000.0,1,1,1
6000000000.0, فرمانیه ,270,1399,6000000000.0,0.0,1,1,1
750000000.0, سهروردی ,115,1387,750000000.0,0.0,1,1,1
2000000000.0, الهیه ,270,1385,2000000000.0,0.0,1,1,1
0.0, نیاوران ,350,1397,0.0,0.0,1,1,1
550000000.0, سعادت‌آباد ,115,1385,550000000.0,0.0,0,0,1
2003000000.0, نیاوران ,360,1399,2000000000.0,100000000.0,1,1,1
260009000.0, شهران شمالی ,73,1384,260000000.0,300000.0,0,1,1
650000000.0, سعادت‌آباد ,100,1390,650000000.0,0.0,1,1,1
200270000.0, اباذر ,77,1395,200000000.0,9000000.0,1,1,1
